0.8,1.7_t,3.2_t,31.4_t
98.332,91.83,80.386,27.574
98.34,91.879,80.518,27.855
98.352,91.945,80.658,28.137
98.363,92.018,80.804,28.423
98.381,92.072,80.937,28.7
98.389,92.122,81.065,28.987
98.389,92.192,81.209,29.28
98.402,92.25,81.34,29.556
98.415,92.314,81.471,29.845
98.428,92.368,81.609,30.138
98.431,92.435,81.746,30.426
98.441,92.496,81.874,30.719
98.444,92.545,82.002,31.013
98.462,92.598,82.13,31.311
98.477,92.665,82.274,31.616
98.476,92.722,82.404,31.917
98.477,92.78,82.538,32.21
98.483,92.824,82.655,32.497
98.5,92.876,82.782,32.794
98.512,92.934,82.906,33.083
98.517,93.004,83.038,33.385
98.521,93.062,83.174,33.688
98.535,93.115,83.293,33.978
98.543,93.159,83.411,34.267
98.546,93.211,83.531,34.558
98.557,93.26,83.646,34.846
98.567,93.314,83.772,35.136
98.575,93.372,83.887,35.432
98.581,93.419,83.998,35.725
98.589,93.466,84.119,36.02
98.586,93.51,84.23,36.314
98.596,93.565,84.343,36.613
98.61,93.626,84.476,36.923
98.615,93.68,84.596,37.228
98.627,93.736,84.712,37.537
98.634,93.777,84.825,37.845
98.627,93.828,84.938,38.156
98.647,93.884,85.071,38.475
98.66,93.932,85.181,38.786
98.657,93.985,85.307,39.095
98.66,94.029,85.416,39.404
98.666,94.08,85.526,39.709
98.666,94.121,85.623,40.002
98.665,94.167,85.736,40.305
98.674,94.221,85.851,40.611
98.686,94.264,85.959,40.904
98.683,94.308,86.07,41.203
98.695,94.371,86.182,41.508
98.695,94.405,86.279,41.805
98.688,94.444,86.391,42.104
98.691,94.489,86.485,42.403
98.695,94.543,86.597,42.714
98.701,94.592,86.7,43.013
98.703,94.646,86.813,43.321
98.715,94.681,86.913,43.626
98.714,94.731,87.024,43.939
98.709,94.769,87.125,44.247
98.705,94.812,87.225,44.562
98.715,94.864,87.34,44.887
98.708,94.911,87.447,45.195
98.703,94.958,87.553,45.5
98.703,95.013,87.659,45.815
98.697,95.039,87.753,46.115
98.694,95.085,87.859,46.425
98.685,95.128,87.953,46.733
98.682,95.178,88.055,47.041
98.674,95.219,88.161,47.354
98.669,95.261,88.254,47.661
98.666,95.306,88.351,47.955
98.662,95.346,88.451,48.262
98.656,95.39,88.553,48.575
98.645,95.438,88.649,48.882
98.647,95.477,88.748,49.197
98.631,95.517,88.84,49.501
98.622,95.558,88.936,49.817
