1,2,3,4
98.711,98.19,97.844,96.017
98.77,98.271,97.91,96.107
98.825,98.352,97.977,96.199
98.88,98.425,98.058,96.286
98.924,98.499,98.119,96.368
98.997,98.587,98.192,96.469
99.049,98.668,98.265,96.558
99.103,98.747,98.338,96.645
99.174,98.839,98.424,96.748
99.243,98.93,98.505,96.858
99.289,99.007,98.566,96.942
99.356,99.095,98.643,97.04
99.42,99.182,98.721,97.141
99.471,99.257,98.795,97.231
99.521,99.333,98.857,97.313
99.582,99.406,98.926,97.406
99.631,99.472,98.988,97.485
99.68,99.539,99.052,97.563
99.719,99.6,99.112,97.644
99.768,99.666,99.167,97.714
99.818,99.738,99.229,97.791
99.864,99.789,99.281,97.868
99.904,99.85,99.333,97.935
99.939,99.907,99.387,98.013
99.98,99.962,99.44,98.082
100.008,100.009,99.486,98.145
100.034,100.049,99.524,98.198
100.075,100.101,99.571,98.264
100.101,100.133,99.611,98.323
100.133,100.186,99.654,98.39
100.172,100.227,99.693,98.45
100.191,100.255,99.722,98.494
100.227,100.302,99.771,98.558
100.246,100.327,99.814,98.605
100.256,100.352,99.829,98.65
100.279,100.388,99.864,98.692
100.294,100.41,99.89,98.74
100.319,100.43,99.918,98.79
100.323,100.455,99.939,98.824
100.343,100.481,99.971,98.871
100.36,100.49,99.988,98.912
100.372,100.499,100.012,98.943
100.374,100.514,100.02,98.973
100.385,100.533,100.043,99.004
100.386,100.536,100.047,99.033
100.395,100.543,100.075,99.063
100.401,100.555,100.084,99.094
100.409,100.571,100.101,99.129
100.403,100.568,100.108,99.155
100.407,100.575,100.113,99.178
100.407,100.565,100.122,99.193
100.414,100.577,100.139,99.222
100.41,100.578,100.137,99.237
100.406,100.577,100.142,99.26
100.395,100.569,100.137,99.277
100.403,100.574,100.15,99.298
100.401,100.565,100.153,99.326
100.391,100.554,100.146,99.335
100.386,100.554,100.156,99.352
100.389,100.554,100.162,99.38
100.378,100.536,100.142,99.388
100.378,100.533,100.156,99.403
100.368,100.531,100.159,99.417
100.356,100.519,100.154,99.429
100.345,100.502,100.142,99.438
100.342,100.496,100.14,99.451
100.34,100.488,100.139,99.46
100.334,100.484,100.142,99.467
100.319,100.467,100.13,99.477
100.314,100.452,100.122,99.487
100.313,100.45,100.127,99.496
100.305,100.439,100.116,99.513
100.296,100.42,100.111,99.515
100.294,100.412,100.116,99.541
100.291,100.414,100.125,99.551
100.279,100.395,100.11,99.554
100.27,100.38,100.101,99.551
100.256,100.363,100.099,99.564
100.25,100.363,100.105,99.585
100.253,100.359,100.111,99.594
100.253,100.351,100.098,99.599
100.232,100.334,100.087,99.597
100.229,100.317,100.081,99.599
100.232,100.327,100.087,99.625
100.215,100.322,100.076,99.628
100.217,100.314,100.076,99.651
